trade_date,symbol,isin,series,instrument_name,open,high,low,close,last_price,previous_close,volume,turnover
2026-08-07,SNEHAA,INE1OIC01018,SM,SNEHAA ORGANICS LIMITED,47.0,47.0,46.95,46.95,46.95,45.75,2000,93950.0
2026-08-07,SNOWMAN,INE734N01019,EQ,SNOWMAN LOGISTICS LTD.,40.7,41.88,38.81,39.15,39.46,40.71,223615,8850188.22
2026-08-07,SOBHA,INE671H01015,EQ,SOBHA LIMITED,1359.8,1361.4,1334.2,1339.0,1338.2,1355.9,106424,143204752.2
2026-08-07,SOFTTECH,INE728Z01015,BE,SOFTTECH ENGINEERS LTD,420.0,420.35,416.0,420.0,420.0,418.1,687,287440.95
2026-08-07,SOLARINDS,INE343H01029,EQ,SOLAR INDUSTRIES (I) LTD,18509.0,18669.0,18391.0,18650.0,18650.0,18496.0,49218,911745616.0
2026-08-07,SOLARA,INE624Z01016,EQ,SOLARA ACTIVE PHA SCI LTD,511.15,514.3,497.6,502.6,503.0,511.1,149962,75461108.45
2026-08-07,SOLARWORLD,INE0TY101024,EQ,SOLARWORLD ENERGY SOL LTD,169.13,171.79,167.13,168.43,168.02,169.13,205271,34764781.67
2026-08-07,SOLEX,INE880Y01017,EQ,SOLEX ENERGY LIMITED,910.6,927.95,908.0,911.7,910.0,914.5,21601,19745109.25
2026-08-07,SDBL,INE480C01038,EQ,SOM DIST & BREW LTD,74.7,74.7,73.0,73.33,73.1,74.11,319935,23461211.35
2026-08-07,SOMATEX,INE314C01013,EQ,SOMA TEXTILES & INDUST LT,94.0,97.63,94.0,94.86,95.64,94.38,7803,743956.32
2026-08-07,SOMANYCERA,INE355A01028,EQ,SOMANY CERAMICS LIMITED,503.25,510.0,494.0,495.8,497.0,504.0,86172,43145955.75
2026-08-07,SOMICONVEY,INE323J01019,EQ,SOMI CONVEYOR BELT. LTD.,92.21,94.3,90.5,91.84,92.2,91.42,10088,928249.01
2026-08-07,SONACOMS,INE073K01018,EQ,SONA BLW PRECISION FRGS L,790.0,821.0,787.0,818.05,818.05,792.0,3753214,3030714698.2
2026-08-07,SONAMAC,INE0Q6H01012,SM,SONA MACHINERY LIMITED,34.6,34.6,34.55,34.55,34.55,34.5,2000,69150.0
2026-08-07,SONAL,INE321M01017,EQ,SONAL MERCANTILE LTD.,86.1,88.58,86.1,87.6,87.6,89.95,52,4544.9
2026-08-07,SONAMLTD,INE00LM01029,EQ,SONAM LIMITED,54.6,55.02,52.55,54.42,54.5,54.65,33523,1801518.2
2026-08-07,SONATSOFTW,INE269A01021,EQ,SONATA SOFTWARE LTD,324.6,337.65,316.7,318.05,318.0,331.95,1740657,562776176.95
2026-08-07,SOUTHWEST,INE980Y01015,EQ,SOUTH WEST PINNACLE LTD,231.04,234.0,226.88,232.06,231.25,232.42,88963,20448672.14
2026-08-07,SPCENET,INE970N01027,EQ,SPACENET ENTERS IND LTD,3.63,3.87,3.57,3.86,3.87,3.52,1773403,6763094.78
2026-08-07,SPANDANA,INE572J01011,EQ,SPANDANA SPHOORTY FIN LTD,256.75,260.65,254.0,257.75,257.0,256.75,265502,68403753.9
2026-08-07,SPECIALITY,INE247M01014,EQ,SPECIALITY REST LTD,145.5,148.5,136.0,145.17,145.01,142.42,144115,20724059.54
2026-08-07,SPECTRUM,INE01EO01010,EQ,SPECTRUM ELECTRIC IND LTD,2567.6,2576.6,2410.0,2440.7,2410.1,2568.0,14748,36638564.4
2026-08-07,SPECTSTM,INE0OL001018,SM,SPECTRUM TALENT MGMT LTD,64.05,66.0,64.05,65.65,65.05,62.35,3200,208840.0
2026-08-07,SPENCERS,INE020801028,EQ,SPENCER S RETAIL LIMITED,33.4,33.4,32.2,32.44,32.65,33.01,43876,1434212.19
2026-08-07,SPIC,INE147A01011,EQ,SPIC LTD,68.07,68.27,67.5,67.8,67.93,68.28,133846,9088576.08
2026-08-07,SPLIL,INE978G01016,EQ,SPL INDUSTRIES LIMITED,32.99,32.99,32.21,32.69,32.4,31.8,10835,354091.05
2026-08-07,SPMLINFRA,INE937A01023,EQ,SPML INFRA LIMITED,193.39,194.61,189.47,189.94,190.0,194.7,197085,37705702.99
2026-08-07,SPORTKING,INE885H01029,EQ,SPORTKING INDIA LIMITED,206.11,215.91,204.76,214.34,214.0,206.66,742062,157750632.51
2026-08-07,SHRIPISTON,INE526E01018,EQ,SPR AUTO TECHNOLOGIES LTD,4300.0,4469.8,4296.1,4392.8,4350.0,4325.4,56486,248493640.9
2026-08-07,SPUNWEB,INE19QH01010,SM,SPUNWEB NONWOVEN LIMITED,102.0,102.0,102.0,102.0,102.0,102.0,1200,122400.0
2026-08-07,SRHHYPOLTD,INE917H01012,EQ,SREE RAYALSEEMA HHP LTD.,515.0,521.0,508.0,517.45,518.0,512.65,16562,8552607.3
2026-08-07,SREEL,INE099F01013,EQ,SREELEATHERS LIMITED,218.0,218.0,212.51,216.53,217.4,215.37,3093,665413.75
2026-08-07,SRF,INE647A01010,EQ,SRF LTD,2624.9,2640.6,2610.0,2615.0,2615.0,2624.9,262181,687052491.5
2026-08-07,SRGHFL,INE559N01010,EQ,SRG HOUSING FINANCE L,283.25,294.9,283.25,287.1,286.2,291.75,555,159654.75
2026-08-07,HAVISHA,INE293B01029,EQ,SRI HAVISHA HOSP & INFR L,1.55,1.58,1.43,1.46,1.46,1.44,85296,128681.8
2026-08-07,LOTUSDEV,INE0V9Q01010,EQ,SRI LOTUS DEVLPRS N RTY L,185.83,190.0,185.83,185.83,185.83,195.61,1098639,204818861.76
2026-08-07,SPCON,INE0TPJ01019,SM,SRINIBAS PRADHAN CONST L,155.95,155.95,152.6,152.6,152.6,150.4,2400,370260.0
2026-08-07,SRM,INE0R6Z01013,EQ,SRM CONTRACTORS LIMITED,530.95,535.0,517.05,520.7,521.5,529.05,90803,47615230.0
2026-08-07,STALLION,INE0RYC01010,EQ,STALLION IND FLUOROCHEM L,269.7,273.6,251.55,256.5,255.0,270.2,2007602,527783858.0
2026-08-07,SETL,INE0M4D01010,EQ,STANDARD ENGNG TCNLGY LTD,288.35,288.35,278.0,281.0,279.2,274.65,555977,157144194.3
2026-08-07,SIL,INE173A01025,EQ,STANDARD INDUSTRIES LTD.,17.1,17.2,16.9,17.09,17.16,17.02,34030,580863.23
2026-08-07,STANLEY,INE01A001028,EQ,STANLEY LIFESTYLES LTD,154.39,155.4,146.52,149.91,148.75,153.62,95404,14433260.74
2026-08-07,STARCEMENT,INE460H01021,EQ,STAR CEMENT LIMITED,203.34,204.49,196.5,201.96,203.1,203.34,693029,138683756.42
2026-08-07,STARHEALTH,INE575P01011,EQ,STAR HEALTH & AL INS CO L,574.0,580.75,568.0,569.85,568.15,573.65,198994,113767431.65
2026-08-07,STARPAPER,INE733A01018,EQ,STAR PAPER MILLS LTD,151.59,153.98,150.0,152.53,152.5,152.31,14807,2256610.72
2026-08-07,STARTECK,INE992I01013,EQ,STARTECK FINANCE LIMITED,255.3,259.55,255.3,256.95,256.5,257.3,7410,1914562.6
2026-08-07,SBIN,INE062A01020,EQ,STATE BANK OF INDIA,1080.1,1124.5,1075.7,1097.2,1097.2,1085.0,29410622,32460736548.4
2026-08-07,SAIL,INE114A01011,EQ,STEEL AUTHORITY OF INDIA,176.6,176.88,174.61,176.58,176.58,176.74,9569899,1683888101.72
2026-08-07,STEELCITY,INE395H01011,EQ,STEEL CITY SECURITIES LTD,85.78,85.78,84.0,84.29,84.0,84.65,6653,560803.59
2026-08-07,STEELXIND,INE503B01021,EQ,STEEL EXCHANGE INDIA LTD,11.45,11.54,11.12,11.21,11.16,11.45,1033647,11629822.8
2026-08-07,SSWL,INE802C01033,EQ,STEEL STRIPS WHEELS LTD.,305.05,317.2,305.05,308.5,309.55,309.2,658437,206280521.2
2026-08-07,STEELCAS,INE124E01038,EQ,STEELCAST LIMITED,339.0,341.45,330.3,331.6,330.5,337.75,53250,17774558.25
2026-08-07,STEL,INE577L01016,EQ,STEL HOLDINGS LIMITED,566.5,566.5,551.3,552.95,553.3,564.1,1219,677852.75
2026-08-07,STERTOOLS,INE334A01023,BE,STERLING TOOLS LIMITED,246.6,250.0,241.1,244.15,244.0,249.0,23608,5740139.85
2026-08-07,STLTECH,INE089C01029,BE,STERLITE TECHNOLOGIES LTD,629.7,645.0,603.9,638.9,638.9,633.85,1674019,1038728068.05
2026-08-07,SGL,INE353H01010,EQ,STL GLOBAL LIMITED,9.96,10.74,9.51,10.19,9.82,9.92,40514,403771.67
2026-08-07,STLNETWORK,INE1VXE01018,BE,STL NETWORKS LIMITED,24.71,25.02,24.32,24.89,24.98,24.71,386315,9601310.37
2026-08-07,STOVEKRAFT,INE00IN01015,EQ,STOVE KRAFT LIMITED,804.8,819.0,793.0,797.55,795.0,800.2,246697,199222382.7
2026-08-07,STRIDERS,INE1XWN01017,SM,STRIDERS IMPEX LIMITED,64.0,65.0,64.0,64.1,64.1,64.85,17600,1133680.0
2026-08-07,STAR,INE939A01011,EQ,STRIDES PHARMA SCI LTD,998.3,1019.7,991.0,1003.8,1001.0,997.2,260563,262875386.5
2026-08-07,SWSOLAR,INE00M201021,EQ,STRLNG & WIL REN ENE LTD,206.0,207.0,204.5,204.93,205.35,206.92,469420,96476593.47
2026-08-07,STUDDS,INE00Q601028,EQ,STUDDS ACCESSORIES LTD,451.0,451.0,435.0,438.75,439.9,446.55,66634,29407259.9
2026-08-07,STUDIOLSD,INE17VO01028,SM,STUDIO LSD LIMITED,9.0,9.0,8.8,8.8,8.8,9.0,16000,142200.0
2026-08-07,STYLAMIND,INE239C01020,EQ,STYLAM INDUSTRIES LIMITED,3594.0,3594.0,3512.4,3536.5,3512.4,3594.3,17501,61939653.0
2026-08-07,STYRENIX,INE189B01011,EQ,STYRENIX PERFORMANCE LTD,2275.0,2324.4,2244.0,2257.2,2255.0,2279.0,70445,160373609.5
2026-08-07,SUBAHOTELS,INE0RYR01018,SM,SUBA HOTELS LIMITED,111.5,111.5,111.0,111.0,111.0,111.2,12000,1332600.0
2026-08-07,SUBEXLTD,INE754A01055,BE,SUBEX LTD,14.15,14.15,13.6,13.74,13.7,14.13,1417230,19728114.71
2026-08-07,SUBROS,INE287B01021,EQ,SUBROS LIMITED,832.0,841.7,812.2,828.7,812.9,826.7,50756,42293641.8
2026-08-07,SUDARSCHEM,INE659A01023,EQ,SUDARSHAN CHEMICAL INDS L,1119.0,1157.0,1115.0,1139.6,1135.1,1115.6,349920,398279205.1
2026-08-07,SUDARCOLOR,INE492A01029,EQ,SUDARSHAN COLORNT IND LTD,430.75,431.8,417.0,421.05,422.0,428.6,24584,10438562.7
2026-08-07,SUDEEPPHRM,INE0QPI01025,EQ,SUDEEP PHARMA LIMITED,970.05,999.95,946.35,957.55,960.0,974.15,265819,259689295.35
2026-08-07,SUKHJITS,INE450E01029,EQ,SUKHJIT STARCH & CHEM LTD,161.2,164.95,160.95,162.04,160.95,161.2,5302,860147.27
2026-08-07,SULA,INE142Q01026,EQ,SULA VINEYARDS LIMITED,159.95,162.7,155.1,158.55,158.8,167.54,787216,125400425.57
2026-08-07,SUMEETINDS,INE235C01036,EQ,SUMEET IND LIMITED,17.28,17.28,17.28,17.28,17.28,18.18,120603,2084019.84
2026-08-07,SUMIT,INE748Z01013,EQ,SUMIT WOODS LIMITED,58.0,58.0,55.0,56.77,57.4,56.78,32740,1841086.66
2026-08-07,SUMICHEM,INE258G01013,EQ,SUMITOMO CHEM INDIA LTD,525.6,540.6,520.8,532.95,526.6,525.2,611836,327503889.95
2026-08-07,SUMMITSEC,INE519C01017,EQ,SUMMIT SECURITIES LTD,1507.3,1513.0,1491.7,1498.7,1496.1,1511.1,4396,6599165.0
2026-08-07,SPARC,INE232I01014,EQ,SUN PHARMA ADV.RES.CO.LTD,216.99,217.03,211.0,213.21,212.0,216.98,607331,129941245.83
2026-08-07,SUNPHARMA,INE044A01036,EQ,SUN PHARMACEUTICAL IND L,1955.0,1957.0,1925.1,1945.0,1945.0,1951.0,2425268,4699863722.7
